name,value
FBtr0114258.1,CR41571
FBtr0346770.1,CG45784
FBtr0302440.1,CR12798
FBtr0302347.1,CR40182
FBtr0346769.1,CG45783
FBtr0345282.1,CR45220
FBtr0345281.1,CR45220
FBtr0300207.1,spok
FBtr0113885.1,Parp
FBtr0301810.1,Alg-2
FBtr0113895.1,Tim17b
FBtr0345179.1,Tim17b
FBtr0301812.1,CG41128
FBtr0113989.1,CG41099
FBtr0344573.1,CG41099
FBtr0113991.1,CG41099
FBtr0113990.1,CG41099
FBtr0336454.1,CG42402
FBtr0339974.1,CG42402
FBtr0301942.1,CG42402
FBtr0302850.1,Gfat1
FBtr0113694.1,Gfat1
FBtr0302847.1,Gfat1
FBtr0113687.1,Gfat1
FBtr0302849.1,Gfat1
FBtr0302848.1,Gfat1
FBtr0302846.1,Gfat1
FBtr0113692.1,Gfat1
FBtr0113690.1,Gfat1
FBtr0114267.1,CR41601
FBtr0333189.1,CG40198
FBtr0301809.1,CG40198
FBtr0078961.1,CG12581
FBtr0078962.1,CG12581
FBtr0308946.1,CR33294
FBtr0308945.1,CR33294
FBtr0078989.1,Dsk
FBtr0336703.1,CG12582
FBtr0336704.1,CG12582
FBtr0306022.1,CG12582
FBtr0078964.1,CG12582
FBtr0336702.1,CG12582
FBtr0111206.1,CG14636
FBtr0078988.1,CG14636
FBtr0078965.1,aux
FBtr0336705.1,aux
FBtr0336706.1,aux
FBtr0078966.1,aux
FBtr0078987.1,CG31516
FBtr0078986.1,DhpD
FBtr0078985.1,CG14641
FBtr0078967.1,abs
FBtr0078973.1,Gel
FBtr0336707.1,Gel
FBtr0309256.1,Gel
FBtr0078969.1,Gel
FBtr0078968.1,Gel
FBtr0078971.1,Gel
FBtr0309257.1,Gel
FBtr0309258.1,CG14642
FBtr0089688.1,CG14642
FBtr0089687.1,CG14642
FBtr0112501.1,CG34305
FBtr0113190.1,TwdlU
FBtr0078975.1,TwdlF
FBtr0346145.1,TwdlG
FBtr0078982.1,TwdlG
FBtr0336709.1,TwdlG
FBtr0336708.1,CG14644
FBtr0078981.1,CG14644
FBtr0078976.1,TwdlV
FBtr0078977.1,Or82a
FBtr0336480.1,CG1092
FBtr0336481.1,CG1092
FBtr0113191.1,CG9766
FBtr0346235.1,CR45597
FBtr0078897.1,cpx
FBtr0336482.1,cpx
FBtr0301769.1,cpx
FBtr0078899.1,cpx
FBtr0301768.1,cpx
FBtr0078898.1,cpx
FBtr0078902.1,cpx
FBtr0078900.1,cpx
FBtr0301770.1,cpx
FBtr0113338.1,cpx
FBtr0113340.1,cpx
FBtr0300789.1,cpx
FBtr0301771.1,cpx
FBtr0113341.1,cpx
FBtr0301772.1,cpx
FBtr0078901.1,cpx
FBtr0113337.1,cpx
FBtr0310614.1,cpx
FBtr0310506.1,cpx
FBtr0100500.1,cpx
FBtr0100499.1,cpx
FBtr0078959.1,CG9780
FBtr0304264.1,mir-929
FBtr0304265.1,mir-929
FBtr0300936.1,MP1
FBtr0078903.1,MP1
FBtr0078958.1,Vps24
FBtr0273009.1,CG9791
FBtr0336485.1,Syt14
FBtr0078957.1,Syt14
FBtr0339551.1,Syt14
FBtr0336484.1,CG9795
FBtr0100617.1,CG9795
FBtr0336483.1,CG9795
FBtr0078907.1,CG9795
FBtr0078955.1,CG9776
FBtr0078956.1,CG9776
FBtr0078953.1,Skp2
FBtr0344740.1,Skp2
FBtr0078908.1,CG14645
FBtr0078909.1,CG1103
FBtr0111220.1,CG1103
FBtr0078951.1,hkb
FBtr0335202.1,CG1090
FBtr0335201.1,CG1090
FBtr0332449.1,CG1090
FBtr0335203.1,CG1090
FBtr0343890.1,CR44922
FBtr0078913.1,CG11739
FBtr0078914.1,CG11739
FBtr0078915.1,CG11739
FBtr0078916.1,CG11739
FBtr0078917.1,Cont
FBtr0302338.1,tub
FBtr0302339.1,CG14646
FBtr0078919.1,CG14646
FBtr0308807.1,CG34112
FBtr0308808.1,CG34112
FBtr0308809.1,CG34112
FBtr0110805.1,CG34112
FBtr0347125.1,CR45999
FBtr0347124.1,CR45999
FBtr0339552.1,CG9855
FBtr0078950.1,CG9855
FBtr0344215.1,CG9853
FBtr0078949.1,CG9853
FBtr0113192.1,CG9853
FBtr0290222.1,CG14647
FBtr0345153.1,CR45187
FBtr0078921.1,lost
FBtr0290249.1,CG32944
FBtr0339973.1,CG32944
FBtr0290250.1,CG32944
FBtr0078923.1,CG31528
FBtr0078946.1,srl
FBtr0301244.1,srl
FBtr0336458.1,srl
FBtr0078924.1,CG31525
FBtr0346646.1,eIF3-S10
FBtr0078944.1,eIF3-S10
FBtr0078925.1,CG1074
FBtr0078943.1,CG9804
FBtr0346735.1,CG9804
FBtr0335428.1,CR44134
FBtr0078926.1,CG14650
FBtr0306343.1,CG31522
FBtr0335432.1,CG31522
FBtr0078941.1,CG31522
FBtr0306344.1,CG31522
FBtr0078939.1,CG31522
FBtr0078942.1,CG31522
FBtr0335431.1,CG31522
FBtr0345149.1,CR43629
FBtr0345148.1,CR43629
FBtr0309986.1,CR43629
FBtr0335430.1,CG31523
FBtr0335429.1,CG31523
FBtr0345142.1,CG31523
FBtr0078938.1,CG31523
FBtr0078935.1,CG31523
FBtr0078936.1,CG31523
FBtr0078937.1,CG31523
FBtr0299947.1,CG14651
FBtr0078928.1,Fip1
FBtr0335239.1,CG34357
FBtr0303867.1,CG34357
FBtr0112568.1,CG34357
FBtr0112726.1,CG34425
FBtr0078929.1,CG31526
FBtr0303865.1,CG31526
FBtr0303866.1,Mur82C
FBtr0078896.1,CG32945
FBtr0346214.1,CR45558
FBtr0339605.1,CR44317
FBtr0339604.1,CR44317
FBtr0078855.1,5-HT2A
FBtr0300474.1,5-HT2A
FBtr0339397.1,5-HT2A
FBtr0078854.1,5-HT2A
FBtr0339395.1,5-HT2A
FBtr0346413.1,CR45673
FBtr0078895.1,CG9775
FBtr0301297.1,CG9775
FBtr0336457.1,CG9775
FBtr0078894.1,CG9775
FBtr0345249.1,MED31
FBtr0078856.1,MED31
FBtr0305312.1,MED31
FBtr0078857.1,MED31
FBtr0336456.1,MED31
FBtr0301296.1,slx1
FBtr0078893.1,Dip2
FBtr0305313.1,rpk
FBtr0078859.1,rpk
FBtr0336465.1,CR44155
FBtr0078860.1,Karybeta3
FBtr0336462.1,Karybeta3
FBtr0078861.1,spartin
FBtr0308820.1,spartin
FBtr0308857.1,CG43427
FBtr0308856.1,CG43427
FBtr0308852.1,CG43427
FBtr0308858.1,CG43427
FBtr0308850.1,CG43427
FBtr0308851.1,CG43427
FBtr0308849.1,CG43427
FBtr0308855.1,CG43427
FBtr0308854.1,CG43427
FBtr0308853.1,CG43427
FBtr0336464.1,CR44156
FBtr0336463.1,CR44157
FBtr0091931.1,CG33927
FBtr0078892.1,CG9769
FBtr0343891.1,CR44923
FBtr0333922.1,Nep2
FBtr0305133.1,Nep2
FBtr0078891.1,Nep2
FBtr0302616.1,tacc
FBtr0302613.1,tacc
FBtr0302615.1,tacc
FBtr0332446.1,tacc
FBtr0089951.1,tacc
FBtr0089955.1,tacc
FBtr0306654.1,tacc
FBtr0089950.1,tacc
FBtr0332445.1,tacc
FBtr0089949.1,tacc
FBtr0089953.1,tacc
FBtr0302614.1,tacc
FBtr0089952.1,tacc
FBtr0334899.1,atms
FBtr0078868.1,atms
FBtr0334965.1,CG44098
FBtr0334964.1,CG44098
FBtr0334966.1,CG44098
FBtr0345143.1,CG44098
FBtr0334905.1,CG44088
FBtr0078881.1,CG14655
FBtr0078880.1,CG17387
FBtr0334902.1,ctrip
FBtr0344029.1,ctrip
FBtr0334903.1,ctrip
FBtr0303917.1,ctrip
FBtr0303911.1,ctrip
FBtr0344030.1,ctrip
FBtr0303915.1,ctrip
FBtr0303914.1,ctrip
FBtr0303912.1,ctrip
FBtr0301437.1,ctrip
FBtr0344028.1,ctrip
FBtr0334904.1,Hus1-like
FBtr0078876.1,Hus1-like
FBtr0345175.1,CG1129
FBtr0078870.1,CG1129
FBtr0078871.1,CG1129
FBtr0345174.1,CG1129
FBtr0078872.1,CG1126
FBtr0334900.1,CG14657
FBtr0334901.1,CG14657
FBtr0078875.1,CG14657
FBtr0078874.1,CG14658
FBtr0078873.1,CG14659
FBtr0078836.1,opa
FBtr0345252.1,laf
FBtr0078852.1,laf
FBtr0346254.1,CR45580
FBtr0100159.1,Gnf1
FBtr0078837.1,Gnf1
FBtr0336809.1,Cdep
FBtr0336811.1,Cdep
FBtr0336810.1,Cdep
FBtr0336812.1,Cdep
FBtr0345154.1,CR45188
FBtr0078851.1,snRNA:U1:82Eb
FBtr0078849.1,Ubc6
FBtr0306106.1,Ubc6
FBtr0305965.1,CG14661
FBtr0078848.1,CG14661
FBtr0305963.1,CG2016
FBtr0305964.1,CG2016
FBtr0078847.1,CG2016
FBtr0335404.1,CG2016
FBtr0078841.1,CG1124
FBtr0078846.1,CG14662
FBtr0309311.1,CR43478
FBtr0308777.1,CR43424
FBtr0301312.1,CG2022
FBtr0346249.1,CR45585
FBtr0309991.1,CR43635
FBtr0346246.1,CR45588
FBtr0308119.1,corto
FBtr0308118.1,corto
FBtr0308120.1,corto
FBtr0345141.1,corto
FBtr0078844.1,corto
FBtr0305279.1,CG43131
FBtr0078842.1,CG12007
FBtr0078843.1,CG12589
FBtr0339317.1,CG12589
FBtr0339316.1,CG12589
FBtr0339315.1,dpr16
FBtr0110950.1,dpr16
FBtr0078773.1,CG12590
FBtr0299709.1,cno
FBtr0300525.1,cno
FBtr0334913.1,cno
FBtr0334910.1,cno
FBtr0334912.1,cno
FBtr0334911.1,cno
FBtr0299710.1,cno
FBtr0306791.1,snRNA:U4atac:82E
FBtr0078831.1,Prosbeta2R2
FBtr0078775.1,CG1116
FBtr0078774.1,CG1116
FBtr0334907.1,CG1116
FBtr0078830.1,CG2604
FBtr0078829.1,CG2604
FBtr0078828.1,CG2604
FBtr0346146.1,CG14664
FBtr0305000.1,CG14664
FBtr0334908.1,CG14664
FBtr0078777.1,Vps37B
FBtr0305002.1,Vps37B
FBtr0305001.1,Vps37B
FBtr0078827.1,Kat60
FBtr0334909.1,Kat60
FBtr0078778.1,Mms19
FBtr0078825.1,rtp
FBtr0078823.1,CG12163
FBtr0078822.1,CG12163
FBtr0303994.1,CG12163
FBtr0078824.1,CG33293
FBtr0334326.1,CR44019
FBtr0334325.1,CR44019
FBtr0332428.1,CG1113
FBtr0078779.1,CG1113
FBtr0078821.1,CG12173
FBtr0334276.1,Hph
FBtr0344333.1,Hph
FBtr0334274.1,Hph
FBtr0334275.1,Hph
FBtr0078820.1,Tim17a2
FBtr0346781.1,CR45793
FBtr0344334.1,CR45033
FBtr0078814.1,mtd
FBtr0078817.1,mtd
FBtr0078810.1,mtd
FBtr0273430.1,mtd
FBtr0100197.1,mtd
FBtr0078813.1,mtd
FBtr0078815.1,mtd
FBtr0078811.1,mtd
FBtr0308580.1,mtd
FBtr0273433.1,mtd
FBtr0078818.1,mtd
FBtr0273431.1,mtd
FBtr0333695.1,mtd
FBtr0110932.1,mtd
FBtr0308581.1,mtd
FBtr0110933.1,mtd
FBtr0306694.1,mtd
FBtr0306695.1,mtd
FBtr0273434.1,mtd
FBtr0100199.1,mtd
FBtr0078812.1,mtd
FBtr0273432.1,mtd
FBtr0078816.1,mtd
FBtr0333694.1,mtd
FBtr0078819.1,CG31538
FBtr0078784.1,Tim17b1
FBtr0078807.1,CG11999
FBtr0335000.1,CG1161
FBtr0078785.1,CG1161
FBtr0078805.1,Prosbeta7
FBtr0078806.1,Prosbeta7
FBtr0078804.1,Cerk
