bin,chrom,chromStart,chromEnd,name,length,cpgNum,gcNum,perCpg,perGc,obsExp
585,chr2L,7577,8084,CpG: 33,507,33,274,13,54,0.9
585,chr2L,12443,12850,CpG: 33,407,33,211,16.2,51.8,1.21
585,chr2L,22112,22357,CpG: 24,245,24,130,19.6,53.1,1.39
585,chr2L,27208,27450,CpG: 20,242,20,131,16.5,54.1,1.15
585,chr2L,33956,34254,CpG: 24,298,24,159,16.1,53.4,1.17
585,chr2L,39323,39834,CpG: 42,511,42,301,16.4,58.9,0.96
585,chr2L,59075,59400,CpG: 27,325,27,169,16.6,52,1.23
585,chr2L,70090,70345,CpG: 18,255,18,129,14.1,50.6,1.12
585,chr2L,104632,104865,CpG: 25,233,25,128,21.5,54.9,1.43
585,chr2L,111863,112092,CpG: 19,229,19,119,16.6,52,1.25
585,chr2L,121486,121775,CpG: 25,289,25,153,17.3,52.9,1.23
585,chr2L,124340,124888,CpG: 40,548,40,287,14.6,52.4,1.07
586,chr2L,131992,133692,CpG: 139,1700,139,942,16.4,55.4,1.07
586,chr2L,138958,139176,CpG: 16,218,16,116,14.7,53.2,1.07
586,chr2L,140219,140616,CpG: 27,397,27,207,13.6,52.1,1
586,chr2L,144465,144775,CpG: 24,310,24,168,15.5,54.2,1.05
586,chr2L,148518,148830,CpG: 28,312,28,174,17.9,55.8,1.15
586,chr2L,151168,153201,CpG: 140,2033,140,1088,13.8,53.5,0.96
586,chr2L,155575,155961,CpG: 27,386,27,198,14,51.3,1.06
586,chr2L,156882,157182,CpG: 23,300,23,161,15.3,53.7,1.07
586,chr2L,183777,185348,CpG: 117,1571,117,888,14.9,56.5,0.94
586,chr2L,186432,186709,CpG: 23,277,23,153,16.6,55.2,1.09
586,chr2L,191516,191757,CpG: 19,241,19,124,15.8,51.5,1.2
586,chr2L,204063,204483,CpG: 40,420,40,233,19,55.5,1.25
586,chr2L,207503,208915,CpG: 103,1412,103,746,14.6,52.8,1.05
586,chr2L,212113,212638,CpG: 50,525,50,291,19,55.4,1.24
586,chr2L,218347,218854,CpG: 35,507,35,254,13.8,50.1,1.1
586,chr2L,221851,222630,CpG: 56,779,56,396,14.4,50.8,1.13
586,chr2L,224317,224584,CpG: 24,267,24,150,18,56.2,1.21
586,chr2L,226216,226489,CpG: 21,273,21,178,15.4,65.2,0.72
586,chr2L,227790,228278,CpG: 40,488,40,254,16.4,52,1.21
586,chr2L,229174,229417,CpG: 20,243,20,132,16.5,54.3,1.12
586,chr2L,230733,230980,CpG: 21,247,21,135,17,54.7,1.15
586,chr2L,240707,242423,CpG: 124,1716,124,1019,14.5,59.4,0.83
586,chr2L,252668,253643,CpG: 69,975,69,514,14.2,52.7,1.02
586,chr2L,254049,254371,CpG: 25,322,25,189,15.5,58.7,0.91
586,chr2L,256333,256642,CpG: 26,309,26,171,16.8,55.3,1.1
587,chr2L,264017,264901,CpG: 62,884,62,505,14,57.1,0.87
587,chr2L,265892,266288,CpG: 31,396,31,226,15.7,57.1,0.96
587,chr2L,268691,268929,CpG: 20,238,20,125,16.8,52.5,1.23
587,chr2L,270715,270952,CpG: 25,237,25,140,21.1,59.1,1.21
587,chr2L,273442,273712,CpG: 21,270,21,144,15.6,53.3,1.1
587,chr2L,282617,283123,CpG: 35,506,35,269,13.8,53.2,0.98
587,chr2L,285357,285813,CpG: 32,456,32,248,14,54.4,0.95
587,chr2L,291648,291952,CpG: 28,304,28,171,18.4,56.2,1.17
587,chr2L,292469,292883,CpG: 30,414,30,220,14.5,53.1,1.04
587,chr2L,298128,298536,CpG: 38,408,38,228,18.6,55.9,1.22
587,chr2L,299044,299738,CpG: 54,694,54,386,15.6,55.6,1.01
587,chr2L,300074,300310,CpG: 21,236,21,126,17.8,53.4,1.28
587,chr2L,308709,308956,CpG: 18,247,18,143,14.6,57.9,0.88
587,chr2L,317790,318067,CpG: 18,277,18,139,13,50.2,1.04
587,chr2L,318521,319222,CpG: 48,701,48,394,13.7,56.2,0.87
587,chr2L,320772,321180,CpG: 30,408,30,245,14.7,60,0.82
587,chr2L,322361,323173,CpG: 63,812,63,436,15.5,53.7,1.08
587,chr2L,328430,329015,CpG: 43,585,43,310,14.7,53,1.06
587,chr2L,335637,336188,CpG: 42,551,42,277,15.2,50.3,1.21
587,chr2L,336890,337330,CpG: 32,440,32,242,14.5,55,0.96
587,chr2L,342873,345462,CpG: 158,2589,158,1318,12.2,50.9,0.94
587,chr2L,354022,354540,CpG: 40,518,40,278,15.4,53.7,1.07
587,chr2L,357261,357665,CpG: 30,404,30,214,14.9,53,1.06
587,chr2L,358212,358675,CpG: 40,463,40,237,17.3,51.2,1.32
587,chr2L,359071,359298,CpG: 20,227,20,123,17.6,54.2,1.22
587,chr2L,366240,366466,CpG: 16,226,16,120,14.2,53.1,1.01
587,chr2L,369343,369555,CpG: 19,212,19,113,17.9,53.3,1.26
587,chr2L,376665,376929,CpG: 28,264,28,148,21.2,56.1,1.35
587,chr2L,377751,378315,CpG: 55,564,55,315,19.5,55.9,1.26
587,chr2L,381442,381713,CpG: 20,271,20,147,14.8,54.2,1.04
587,chr2L,383487,383834,CpG: 24,347,24,183,13.8,52.7,1
587,chr2L,384605,385120,CpG: 56,515,56,293,21.7,56.9,1.35
587,chr2L,386322,386553,CpG: 24,231,24,156,20.8,67.5,0.97
587,chr2L,386785,387214,CpG: 30,429,30,275,14,64.1,0.77
587,chr2L,389946,390360,CpG: 30,414,30,221,14.5,53.4,1.02
588,chr2L,396217,396532,CpG: 24,315,24,165,15.2,52.4,1.12
588,chr2L,398279,398576,CpG: 22,297,22,159,14.8,53.5,1.06
588,chr2L,399873,400406,CpG: 37,533,37,300,13.9,56.3,0.88
588,chr2L,404573,404792,CpG: 15,219,15,118,13.7,53.9,0.94
588,chr2L,405606,406018,CpG: 27,412,27,211,13.1,51.2,1
588,chr2L,407230,407811,CpG: 40,581,40,305,13.8,52.5,1.01
588,chr2L,410446,412096,CpG: 112,1650,112,856,13.6,51.9,1.01
588,chr2L,415037,416977,CpG: 121,1940,121,1030,12.5,53.1,0.88
588,chr2L,417223,417640,CpG: 29,417,29,232,13.9,55.6,0.9
588,chr2L,423435,424264,CpG: 64,829,64,496,15.4,59.8,0.87
588,chr2L,426295,426746,CpG: 35,451,35,232,15.5,51.4,1.18
588,chr2L,433604,434814,CpG: 90,1210,90,607,14.9,50.2,1.18
588,chr2L,435186,435518,CpG: 31,332,31,173,18.7,52.1,1.39
588,chr2L,441518,441778,CpG: 21,260,21,138,16.2,53.1,1.15
588,chr2L,442456,442832,CpG: 28,376,28,200,14.9,53.2,1.05
588,chr2L,444730,445047,CpG: 26,317,26,163,16.4,51.4,1.24
588,chr2L,445738,445989,CpG: 17,251,17,146,13.5,58.2,0.87
588,chr2L,446400,446772,CpG: 27,372,27,197,14.5,53,1.08
588,chr2L,449632,450353,CpG: 49,721,49,364,13.6,50.5,1.07
588,chr2L,453326,454168,CpG: 67,842,67,478,15.9,56.8,0.99
588,chr2L,456539,458385,CpG: 123,1846,123,1060,13.3,57.4,0.81
588,chr2L,460432,460782,CpG: 25,350,25,184,14.3,52.6,1.04
588,chr2L,463400,464926,CpG: 110,1526,110,864,14.4,56.6,0.91
588,chr2L,466587,467247,CpG: 59,660,59,333,17.9,50.5,1.4
588,chr2L,468433,468653,CpG: 19,220,19,111,17.3,50.5,1.39
588,chr2L,469156,469449,CpG: 25,293,25,148,17.1,50.5,1.34
588,chr2L,470306,470556,CpG: 18,250,18,132,14.4,52.8,1.09
588,chr2L,473720,473938,CpG: 20,218,20,137,18.3,62.8,0.97
588,chr2L,477084,477572,CpG: 39,488,39,269,16,55.1,1.06
588,chr2L,479613,479916,CpG: 29,303,29,183,19.1,60.4,1.05
588,chr2L,481145,481880,CpG: 56,735,56,399,15.2,54.3,1.03
588,chr2L,482144,482763,CpG: 47,619,47,310,15.2,50.1,1.22
588,chr2L,483426,483742,CpG: 25,316,25,165,15.8,52.2,1.16
588,chr2L,487727,487994,CpG: 20,267,20,136,15,50.9,1.18
588,chr2L,489586,489790,CpG: 21,204,21,108,20.6,52.9,1.59
588,chr2L,491946,492233,CpG: 23,287,23,146,16,50.9,1.24
588,chr2L,496874,497090,CpG: 15,216,15,110,13.9,50.9,1.17
588,chr2L,500933,501205,CpG: 21,272,21,138,15.4,50.7,1.24
588,chr2L,501489,502131,CpG: 41,642,41,348,12.8,54.2,0.87
588,chr2L,507182,507731,CpG: 39,549,39,305,14.2,55.6,0.93
588,chr2L,509010,509265,CpG: 22,255,22,128,17.3,50.2,1.38
588,chr2L,511714,512009,CpG: 30,295,30,173,20.3,58.6,1.22
588,chr2L,514259,514725,CpG: 34,466,34,253,14.6,54.3,0.99
588,chr2L,523110,523849,CpG: 73,739,73,396,19.8,53.6,1.38
589,chr2L,524408,524800,CpG: 26,392,26,214,13.3,54.6,0.89
589,chr2L,533387,535558,CpG: 138,2171,138,1107,12.7,51,0.98
589,chr2L,536341,536543,CpG: 17,202,17,133,16.8,65.8,0.86
589,chr2L,536815,537342,CpG: 42,527,42,316,15.9,60,0.9
589,chr2L,537870,538335,CpG: 37,465,37,283,15.9,60.9,0.86
589,chr2L,539571,540215,CpG: 48,644,48,366,14.9,56.8,0.93
589,chr2L,541764,555405,CpG: 847,13641,847,7066,12.4,51.8,0.92
589,chr2L,555853,556131,CpG: 23,278,23,148,16.5,53.2,1.2
589,chr2L,557287,557511,CpG: 17,224,17,131,15.2,58.5,0.89
589,chr2L,558074,558529,CpG: 38,455,38,287,16.7,63.1,0.85
589,chr2L,559575,560309,CpG: 65,734,65,431,17.7,58.7,1.03
589,chr2L,562733,563608,CpG: 63,875,63,486,14.4,55.5,0.94
589,chr2L,564037,569692,CpG: 363,5655,363,2986,12.8,52.8,0.92
589,chr2L,570578,571061,CpG: 35,483,35,251,14.5,52,1.07
589,chr2L,573734,574243,CpG: 47,509,47,301,18.5,59.1,1.06
589,chr2L,575945,576351,CpG: 28,406,28,217,13.8,53.4,0.97
589,chr2L,577374,578965,CpG: 113,1591,113,866,14.2,54.4,0.96
589,chr2L,580446,580668,CpG: 19,222,19,125,17.1,56.3,1.11
589,chr2L,583159,583385,CpG: 17,226,17,128,15,56.6,0.94
589,chr2L,584195,584430,CpG: 22,235,22,151,18.7,64.3,0.91
589,chr2L,590083,590297,CpG: 17,214,17,117,15.9,54.7,1.07
589,chr2L,592382,592599,CpG: 16,217,16,143,14.7,65.9,0.69
589,chr2L,593597,594313,CpG: 51,716,51,442,14.2,61.7,0.77
589,chr2L,597831,598062,CpG: 20,231,20,118,17.3,51.1,1.52
589,chr2L,600655,600893,CpG: 15,238,15,122,12.6,51.3,1.01
589,chr2L,606102,606337,CpG: 24,235,24,137,20.4,58.3,1.24
589,chr2L,610564,611004,CpG: 38,440,38,253,17.3,57.5,1.05
589,chr2L,612300,612742,CpG: 37,442,37,240,16.7,54.3,1.15
589,chr2L,614024,614252,CpG: 18,228,18,120,15.8,52.6,1.18
589,chr2L,614898,615154,CpG: 22,256,22,139,17.2,54.3,1.2
589,chr2L,623113,623594,CpG: 33,481,33,246,13.7,51.1,1.06
589,chr2L,641618,643219,CpG: 100,1601,100,860,12.5,53.7,0.87
589,chr2L,644050,644256,CpG: 16,206,16,107,15.5,51.9,1.15
589,chr2L,648007,648252,CpG: 19,245,19,139,15.5,56.7,0.97
589,chr2L,650096,650424,CpG: 29,328,29,177,17.7,54,1.23
589,chr2L,651385,653274,CpG: 127,1889,127,977,13.4,51.7,1.01
589,chr2L,654420,654635,CpG: 16,215,16,110,14.9,51.2,1.14
590,chr2L,656798,657331,CpG: 49,533,49,287,18.4,53.8,1.27
590,chr2L,664587,664795,CpG: 19,208,19,110,18.3,52.9,1.35
590,chr2L,665502,666082,CpG: 40,580,40,312,13.8,53.8,0.95
590,chr2L,671205,671471,CpG: 23,266,23,151,17.3,56.8,1.1
590,chr2L,672074,672410,CpG: 32,336,32,186,19,55.4,1.25
590,chr2L,674011,674396,CpG: 32,385,32,209,16.6,54.3,1.14
590,chr2L,684080,684304,CpG: 18,224,18,115,16.1,51.3,1.23
590,chr2L,700555,700867,CpG: 25,312,25,175,16,56.1,1.07
590,chr2L,705722,706336,CpG: 51,614,51,329,16.6,53.6,1.19
590,chr2L,707386,707756,CpG: 30,370,30,191,16.2,51.6,1.22
590,chr2L,718752,719018,CpG: 18,266,18,138,13.5,51.9,1.01
590,chr2L,723173,723749,CpG: 54,576,54,314,18.8,54.5,1.26
590,chr2L,726207,726647,CpG: 37,440,37,229,16.8,52,1.24
590,chr2L,727373,727596,CpG: 18,223,18,125,16.1,56.1,1.04
590,chr2L,727911,728170,CpG: 18,259,18,143,13.9,55.2,0.92
590,chr2L,728513,729174,CpG: 54,661,54,369,16.3,55.8,1.07
590,chr2L,729650,730146,CpG: 34,496,34,289,13.7,58.3,0.82
590,chr2L,731792,732075,CpG: 26,283,26,148,18.4,52.3,1.35
590,chr2L,734461,735310,CpG: 61,849,61,434,14.4,51.1,1.1
590,chr2L,738520,738847,CpG: 26,327,26,189,15.9,57.8,0.96
590,chr2L,740395,742042,CpG: 106,1647,106,827,12.9,50.2,1.03
590,chr2L,744164,744378,CpG: 29,214,29,131,27.1,61.2,1.45
590,chr2L,750405,750722,CpG: 31,317,31,174,19.6,54.9,1.3
590,chr2L,758820,759108,CpG: 23,288,23,157,16,54.5,1.08
590,chr2L,759242,759445,CpG: 15,203,15,110,14.8,54.2,1.01
590,chr2L,760668,760908,CpG: 19,240,19,151,15.8,62.9,0.81
590,chr2L,763469,763728,CpG: 23,259,23,145,17.8,56,1.13
590,chr2L,765078,765323,CpG: 18,245,18,129,14.7,52.7,1.09
590,chr2L,774278,774519,CpG: 17,241,17,139,14.1,57.7,0.9
590,chr2L,775809,776089,CpG: 25,280,25,142,17.9,50.7,1.4
590,chr2L,777028,777235,CpG: 18,207,18,105,17.4,50.7,1.35
590,chr2L,781175,781726,CpG: 41,551,41,307,14.9,55.7,0.96
590,chr2L,782379,782630,CpG: 18,251,18,133,14.3,53,1.02
73,chr2L,784492,788067,CpG: 236,3575,236,1956,13.2,54.7,0.88
591,chr2L,789297,789551,CpG: 23,254,23,130,18.1,51.2,1.38
591,chr2L,790505,790899,CpG: 36,394,36,220,18.3,55.8,1.18
591,chr2L,791999,792360,CpG: 35,361,35,197,19.4,54.6,1.32
591,chr2L,793512,793909,CpG: 31,397,31,220,15.6,55.4,1.05
591,chr2L,794796,795003,CpG: 15,207,15,112,14.5,54.1,0.99
591,chr2L,796526,797315,CpG: 63,789,63,398,16,50.4,1.26
591,chr2L,797888,798151,CpG: 24,263,24,155,18.3,58.9,1.06
591,chr2L,801163,801456,CpG: 24,293,24,157,16.4,53.6,1.14
591,chr2L,812659,814095,CpG: 101,1436,101,768,14.1,53.5,0.98
591,chr2L,815044,815752,CpG: 49,708,49,387,13.8,54.7,0.93
591,chr2L,819269,819544,CpG: 20,275,20,142,14.5,51.6,1.12
591,chr2L,819927,820912,CpG: 74,985,74,574,15,58.3,0.89
591,chr2L,821622,822040,CpG: 34,418,34,254,16.3,60.8,0.91
591,chr2L,822874,826170,CpG: 220,3296,220,1707,13.3,51.8,1
591,chr2L,826393,826683,CpG: 20,290,20,158,13.8,54.5,0.94
