bin,name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
585,g1.t1,chr2L,+,6485,10574,6590,9276,6,"6485,7573,7979,8192,8667,10454,","6808,7910,8116,8589,9741,10574,",0,g1,cmpl,cmpl,"0,2,0,2,0,-1,"
585,g1.t2,chr2L,+,6485,10574,6590,9276,5,"6485,7573,8192,8667,10454,","6808,8116,8589,9741,10574,",0,g1,cmpl,cmpl,"0,2,2,0,-1,"
585,g2.t1,chr2L,-,10706,40875,11770,40784,26,"10706,12285,13519,13682,14932,22268,22527,22742,22993,23488,23928,26765,27052,28014,28460,28732,28981,30393,31783,33844,34557,34719,35745,38534,39300,40756,","12221,12928,13625,14874,15275,22446,22687,22935,23089,23873,24210,26964,27490,28211,28639,28926,29068,31723,33270,34288,34604,34912,38298,38731,39857,40875,",0,g2,cmpl,cmpl,"2,1,0,2,1,0,2,1,1,0,0,2,2,0,1,2,2,1,2,2,0,2,2,0,1,0,"
585,g3.t1,chr2L,+,56305,71879,67624,70895,6,"56305,61885,67568,67891,68084,70606,","56356,61966,67762,68023,70549,71879,",0,g3,cmpl,cmpl,"-1,-1,0,0,0,2,"
585,g3.t2,chr2L,+,56305,76202,67624,76098,11,"56305,66675,67568,67891,68084,70606,72597,74479,74902,75077,75426,","56356,67003,67762,68023,70549,70806,72977,74572,75018,75366,76202,",0,g3,cmpl,cmpl,"-1,-1,0,0,0,2,1,0,0,2,0,"
585,g4.t1,chr2L,-,81824,87415,83267,87062,2,"81824,87019,","84277,87415,",0,g4,cmpl,cmpl,"1,0,"
585,g5.t1,chr2L,+,90635,104028,90688,103936,15,"90635,94988,95131,95353,97883,98787,99658,99784,100571,100761,101015,101248,102583,103005,103877,","90813,95070,95301,97833,98470,99346,99723,100516,100703,100942,101194,101619,102906,103434,104028,",0,g5,cmpl,cmpl,"0,2,0,2,1,0,1,0,0,0,1,0,2,1,1,"
585,g5.t2,chr2L,+,94785,104145,94851,103936,15,"94785,94988,95131,95353,97883,98787,99658,99784,100571,100761,101015,101248,102583,103005,103877,","94892,95070,95301,97833,98470,99346,99723,100516,100703,100909,101194,101619,102906,103434,104145,",0,g5,cmpl,cmpl,"0,2,0,2,1,0,1,0,0,0,1,0,2,1,1,"
585,g6.t1,chr2L,-,104058,106755,104472,106642,5,"104058,105004,105390,105511,106038,","104947,105336,105455,105823,106755,",0,g6,cmpl,cmpl,"2,0,1,1,0,"
585,g7.t1,chr2L,+,107875,114304,108685,113542,7,"107875,108147,110405,110754,111004,112689,113433,","108101,108809,110483,110877,111117,113369,114304,",0,g7,cmpl,cmpl,"-1,0,1,1,1,0,2,"
585,g8.t3,chr2L,-,114415,120635,115712,120032,12,"114415,117402,117694,117819,118135,118360,118930,119133,119287,119430,119827,120420,","116090,117625,117759,118076,118304,118874,119076,119235,119375,119554,120080,120635,",0,g8,cmpl,cmpl,"0,2,0,1,0,2,0,0,2,1,0,-1,"
585,g8.t1,chr2L,-,117173,122125,117330,120032,11,"117173,117694,117819,118135,118360,118930,119133,119287,119430,119827,122017,","117625,117759,118076,118304,118874,119076,119235,119375,119554,120080,122125,",0,g8,cmpl,cmpl,"2,0,1,0,2,0,0,2,1,0,-1,"
585,g8.t2,chr2L,-,117173,120635,117330,120032,11,"117173,117694,117819,118135,118360,118930,119133,119287,119430,119827,120420,","117640,117759,118076,118304,118874,119076,119235,119375,119482,120080,120635,",0,g8,cmpl,cmpl,"2,0,1,0,2,0,0,2,1,0,-1,"
585,g9.t1,chr2L,-,122580,129585,123128,128983,7,"122580,123693,123855,124086,125133,126109,128799,","123512,123794,124024,124920,125266,126227,129585,",0,g9,cmpl,cmpl,"0,1,0,0,2,1,0,"
586,g10.t1,chr2L,+,131875,134272,132482,133682,2,"131875,132423,","132255,134272,",0,g10,cmpl,cmpl,"-1,0,"
586,g11.t3,chr2L,-,138609,142965,138694,142487,8,"138609,139255,139740,140113,141200,141395,141670,142925,","139198,139307,139954,140869,141340,141609,142576,142965,",0,g11,cmpl,cmpl,"0,2,1,1,2,1,0,-1,"
586,g11.t1,chr2L,-,139447,143035,139470,142487,7,"139447,139740,140113,141200,141395,141670,142925,","139606,139954,140971,141340,141609,142576,143035,",0,g11,cmpl,cmpl,"2,1,1,2,1,0,-1,"
586,g11.t2,chr2L,-,139447,143005,139470,142487,7,"139447,139740,140113,141200,141395,141670,142925,","139606,139954,140869,141340,141609,142576,143005,",0,g11,cmpl,cmpl,"2,1,1,2,1,0,-1,"
586,g12.t1,chr2L,+,143275,144234,143377,144094,1,"143275,","144234,",0,g12,cmpl,cmpl,"0,"
586,g13.t1,chr2L,-,144232,153335,144373,152800,10,"144232,145974,147348,147510,147764,147994,148091,148337,148878,151114,","145910,146202,147454,147710,147936,148037,148167,148825,149226,153335,",0,g13,cmpl,cmpl,"2,2,1,2,1,0,2,0,0,0,"
586,g13.t2,chr2L,-,144275,153355,144373,152800,10,"144275,145974,147348,147510,147764,147994,148091,148337,148878,151114,","145910,146202,147454,147710,147936,148037,148173,148825,149226,153355,",0,g13,cmpl,cmpl,"2,2,1,2,1,0,2,0,0,0,"
586,g13.t4,chr2L,-,144275,155285,144373,155247,12,"144275,145974,147348,147510,147764,147994,148091,148337,148878,151114,153847,155127,","145910,146202,147454,147710,147936,148037,148167,148825,149226,153055,155059,155285,",0,g13,cmpl,cmpl,"2,2,1,2,1,0,2,0,0,0,0,0,"
586,g13.t3,chr2L,-,153586,155285,153676,155247,2,"153586,155127,","155059,155285,",0,g13,cmpl,cmpl,"0,0,"
586,g14.t2,chr2L,+,155455,157662,155571,157541,5,"155455,155857,156175,156422,156735,","155784,155900,156348,156552,157662,",0,g14,cmpl,cmpl,"0,0,1,0,1,"
586,g14.t1,chr2L,+,155635,157662,155670,157541,5,"155635,155857,156175,156422,156735,","155784,155900,156348,156552,157662,",0,g14,cmpl,cmpl,"0,0,1,0,1,"
